title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 6.9 - 21 km ssw of kamariótissa, greece",6.9,2014-05-24 09:25:00,9,7,green,0,951,us,0,0.402,25.0,mww,6.43,40.2893,25.3889,"kamariótissa, greece",greece
"m 6.5 - 110 km se of punta de burica, panama",6.5,2014-05-13 06:35:00,7,5,green,1,694,us,0,3.121,33.0,mww,10.0,7.2096,-82.3045,"punta de burica, panama",unknown
"m 6.6 - 239 km sse of isangel, vanuatu",6.6,2014-01-05 06:36:00,0,5,green,1,670,us,0,3.34,10.0,mww,106.0,-21.4542,170.355,"isangel, vanuatu",unknown
"m 6.5 - 107 km wsw of vernon, canada",6.5,2014-04-24 03:10:00,4,6,green,1,838,us,0,0.0,0.0,mww,10.0,49.6388,-127.732,"vernon, canada",unknown
"m 7.5 - 70 km sw of panguna, papua new guinea",7.5,2014-04-19 13:28:00,0,6,green,1,865,us,0,3.82,16.0,mww,43.37,-6.7547,155.024,"panguna, papua new guinea",unknown
"m 6.6 - 57 km sw of panguna, papua new guinea",6.6,2014-04-19 01:04:00,0,6,green,1,670,us,0,3.803,11.0,mww,29.0,-6.6558,155.087,"panguna, papua new guinea",papua new guinea
"m 7.2 - 9 km ene of coyuquilla norte, mexico",7.2,2014-04-18 14:27:00,8,7,yellow,1,1017,us,0,2.25,46.0,mww,24.0,17.397,-100.972,"coyuquilla norte, mexico",mexico
"m 6.6 - 75 km s of kirakira, solomon islands",6.6,2014-04-13 13:24:00,0,6,green,0,670,us,0,2.666,22.0,mww,10.0,-11.1284,162.052,"kirakira, solomon islands",unknown
"m 7.4 - 112 km s of kirakira, solomon islands",7.4,2014-04-13 12:36:00,0,6,green,1,842,us,0,2.885,17.0,mww,39.0,-11.4633,162.051,"kirakira, solomon islands",unknown
"m 7.6 - 93 km sse of kirakira, solomon islands",7.6,2014-12-04 20:14:00,0,7,green,1,889,us,0,2.828,13.0,mww,22.56,-11.2701,162.148,"kirakira, solomon islands",unknown
"m 6.6 - 15 km n of belén, nicaragua",6.6,2014-11-04 20:29:00,6,5,green,1,677,us,0,0.761,20.0,mww,135.0,11.642,-85.8779,"belén, nicaragua",nicaragua
"m 6.5 - 78 km sw of panguna, papua new guinea",6.5,2014-11-04 08:16:00,0,6,green,1,650,us,0,3.787,16.0,mww,20.0,-6.7878,154.95,"panguna, papua new guinea",unknown
"m 7.1 - 56 km wsw of panguna, papua new guinea",7.1,2014-11-04 07:07:00,0,7,green,1,776,us,0,3.729,21.0,mww,60.53,-6.5858,155.048,"panguna, papua new guinea",papua new guinea
"m 7.7 - 53 km sw of iquique, chile",7.7,2014-03-04 02:43:00,8,9,yellow,1,1057,us,0,1.029,44.0,mww,22.4,-20.5709,-70.4931,"iquique, chile",unknown
"m 6.5 - 45 km wsw of iquique, chile",6.5,2014-03-04 01:58:00,7,7,green,0,670,us,0,0.828,82.0,mww,24.07,-20.3113,-70.5756,"iquique, chile",unknown
"m 6.9 - 90 km wnw of iquique, chile",6.9,2014-01-04 23:57:00,0,5,green,0,732,us,0,0.828,119.0,mww,28.42,-19.8927,-70.9455,"iquique, chile",unknown
"m 8.2 - 93 km nw of iquique, chile",8.2,2014-01-04 23:46:00,9,8,yellow,1,1332,us,0,0.609,23.0,mww,25.0,-19.6097,-70.7691,"iquique, chile",unknown
